id,name,url,type_id
1,americannews,americannews.com,1
2,bigamericannews,bigamericannews.com,1
3,capnews,cap-news.com,1
4,christwire,christwire.org,1
5,civictribune,civictribune.com,1
6,clickhole,clickhole.com,1
7,creambmp,creambmp.com,1
8,dcgazette,dcgazette.com,1
9,dailycurrant,dailycurrant.com,1
10,dcclothesline,dcclothesline.com,1
11,derfmagazine,derfmagazine.com,1
12,drudgereport,drudgereport.co.com,1
13,duhprogressive,duhprogressive.com,1
14,empirenews,empirenews.com,1
15,enduringvision,enduringvision.com,1
16,cc indecision,cc.com,1
17,msnbc,msnbc.com,1
18,msnbc,msnbc.website,1
19,mediamass,mediamass.net,1
20,nationalreport,nationalreport.net,1
21,newsbiscuit,newsbiscuit.com,1
22,news-hound,news-hound.com,1
23,newsmutiny,newsmutiny.com,1
24,politicalears,politicalears.com,1
25,private-eye,private-eye.co.uk,1
26,realnewsrightnow,realnewsrightnow.com,1
27,rilenews,rilenews.com,1
28,sprotspickle,sprotspickle.com,1
29,thenewsnerd,thenewsnerd.com,1
30,theuspatriot,theuspatriot.com,1
31,witscience,witscience.org,1
32,amplifyingglass,amplifyingglass.com,2
33,duffleblog,duffleblog.com,2
34,empiresports,empiresports.com,2
35,gomerblog,gomerblog.com,2
36,huzlers,huzlers.com,2
37,itaglive,itaglive.com,2
38,newslo,newslo.com,2
39,nahadaily,nahadaily.com,2
40,rockcitytimes,rockcitytimes.com,2
41,thelapine,thelapine.ca,2
42,thespoof,thespoof.com,2
43,worldnewsdailyreport,worldnewsdailyreport.com,2
44,awazetribune,awazetribune.com,2
45,borowitzreport,borowitzreport.com,2
46,clickhole,clickhole.com,2
47,cracked,cracked.com,2
48,christwire,christwire.org,2
49,speld,speld.nl,2
50,der-postillon,der-postillon.com,2
51,duffelblog,duffelblog.com,2
52,elkoshary,elkoshary.com,2
53,elmundotoday,elmundotoday.com,2
54,fakingnews,fakingnews.com,2
55,fognews,fognews.ru,2
56,freewoodpost,freewoodpost.com,2
57,islamicanews,islamicanews.com,2
58,landoverbaptist,landoverbaptist.org,2
59,legorafi,legorafi.fr,2
60,lushforlife,lushforlife.com,2
